# TeroSocial - registro de accesos de la plataforma
# Formato: fecha_utc | cuenta | ip | cliente | resultado
# Rotacion: mensual. Retencion: 400 dias (politica interna, ver PLT-2291).
# ADVERTENCIA: este archivo no deberia estar en una carpeta servida.

2026-08-05T14:22:07Z | marce.peluquera      | 179.31.141.165 | Chrome 127 / Windows 10   | ok
2026-08-03T21:30:09Z | murga_la_reculada    | 179.31.87.91   | movil/1.7 Android 13      | ok
2026-08-03T20:05:55Z | escepticouy          | 179.27.230.156 | Chrome 127 / Windows 10   | ok
2026-08-03T19:14:50Z | elabuelo_radioCX8    | 186.52.19.33   | Chrome 101 / Windows 7    | ok
2026-08-03T17:30:12Z | murga_la_reculada    | 179.31.87.91   | Chrome 127 / Windows 10   | ok
2026-08-03T15:47:22Z | salvavidas_rocha     | 186.52.77.140  | movil/1.7 Android 12      | ok
2026-08-03T14:02:48Z | elabuelo_radioCX8    | 186.52.19.33   | Chrome 101 / Windows 7    | ok
2026-08-03T12:15:33Z | pescador_delaplata   | 186.52.41.249  | movil/1.7 Android 10      | ok
2026-08-03T09:26:41Z | guarda_101           | 167.62.120.44  | movil/1.7 Android 10      | ok
2026-08-02T23:19:41Z | ojoscerrados_uy      | 91.219.238.104 | Tor Browser / Linux       | ok
2026-08-02T22:55:18Z | heladeria_polo_sur   | 179.27.201.66  | movil/1.7 iOS 18          | ok
2026-08-02T21:44:02Z | patriota_oriental_1811 | 179.27.88.201| Chrome 127 / Windows 10   | ok
2026-08-02T20:11:03Z | bomberito_ruiz       | 190.64.44.77   | movil/1.7 Android 13      | ok
2026-08-02T18:33:29Z | cielo_raro_uy        | 190.64.12.77   | movil/1.7 Android 12      | ok
2026-08-02T14:38:47Z | caro.veterinaria     | 167.62.155.82  | Chrome 127 / macOS        | ok
2026-08-02T12:29:14Z | mateamargo_87        | 179.31.55.44   | movil/1.7 Android 15      | ok
2026-08-02T09:41:56Z | marce.peluquera      | 179.31.141.165 | movil/1.7 Android 13      | ok
2026-08-02T08:20:31Z | marce.peluquera      | 179.31.141.165 | movil/1.7 Android 13      | ok
2026-08-02T08:19:55Z | marce.peluquera      | 179.31.141.165 | movil/1.7 Android 13      | fallo de contrasena
2026-08-01T23:41:12Z | ojoscerrados_uy      | 104.244.76.13  | Tor Browser / Linux       | ok
2026-08-01T21:14:38Z | charrua_libre        | 179.31.55.44   | Firefox 129 / Windows 11  | ok
2026-08-01T20:58:11Z | charrua_libre        | 179.31.55.44   | Firefox 129 / Windows 11  | fallo de contrasena
2026-08-01T20:57:44Z | charrua_libre        | 179.31.55.44   | Firefox 129 / Windows 11  | fallo de contrasena
2026-08-01T18:06:29Z | contadora.gimenez    | 179.31.66.90   | movil/1.7 Android 12      | ok
2026-08-01T16:22:07Z | tero_bot_noticias    | 10.14.2.9      | agente interno            | ok
2026-08-01T13:22:47Z | tero_bot_noticias    | 10.14.2.9      | agente interno            | ok
2026-08-01T09:03:19Z | tero_bot_noticias    | 10.14.2.9      | agente interno            | ok
2026-08-01T06:00:04Z | moderacion_terosocial | 10.14.2.9      | agente interno            | ok
2026-07-31T23:50:02Z | dj.pirata.fm         | 186.52.144.28  | Chrome 127 / Linux        | ok
2026-07-31T21:48:33Z | rivera_frontera      | 167.62.190.28  | movil/1.7 Android 11      | ok
2026-07-31T19:14:47Z | contadora.gimenez    | 179.31.66.90   | Chrome 127 / Windows 10   | ok
2026-07-31T15:33:21Z | agua_pura_uy         | 190.64.201.55  | movil/1.7 iOS 18          | ok
2026-07-31T12:10:16Z | chef_carmelo         | 190.135.12.61  | Chrome 127 / macOS        | ok
2026-07-30T22:07:13Z | ojoscerrados_uy      | 185.220.101.44 | Tor Browser / Linux       | ok
2026-07-30T19:33:52Z | laspiedras_mecanico  | 186.52.155.9   | movil/1.7 Android 10      | ok
2026-07-30T08:57:41Z | tambero_sanjose      | 190.112.77.9   | movil/1.7 Android 12      | ok
2026-07-30T06:40:55Z | pescador_delaplata   | 186.52.41.249  | movil/1.7 Android 10      | ok
